observation_date,TDSP,MDSP,CDSP,FODSP
1980-01-01,10.473614,4.464713,6.008901,15.312697
1981-01-01,10.356335,4.714634,5.641701,15.254362
1982-01-01,10.444661,4.899826,5.544835,15.455262
1983-01-01,10.380377,4.855188,5.525188,15.402528
1984-01-01,10.685901,4.968153,5.717749,15.668474
1985-01-01,11.470505,5.351333,6.119172,16.709491
1986-01-01,11.889561,5.589533,6.300028,17.289329
1987-01-01,11.987467,5.787655,6.199812,17.488806
1988-01-01,11.699290,5.761273,5.938017,17.035442
1989-01-01,11.723673,5.893857,5.829816,16.977871
1990-01-01,11.612043,6.092057,5.519986,16.909607
1991-01-01,11.350670,6.169373,5.181297,16.723087
1992-01-01,10.641461,5.887121,4.754340,15.940023
1993-01-01,10.398442,5.703134,4.695309,15.661462
1994-01-01,10.545189,5.561295,4.983894,15.859956
1995-01-01,11.111618,5.663705,5.447913,16.452799
1996-01-01,11.324478,5.607842,5.716636,16.632878
1997-01-01,11.355859,5.625332,5.730528,16.671533
1998-01-01,11.201778,5.498602,5.703176,16.360094
1999-01-01,11.494271,5.559324,5.934946,16.659468
2000-01-01,11.816318,5.665334,6.150984,16.835890
2001-01-01,12.393507,5.804364,6.589144,17.420299
2002-01-01,12.383713,5.815102,6.568612,17.305339
2003-01-01,12.254863,5.839836,6.415027,17.037155
2004-01-01,12.231523,5.915617,6.315906,16.976114
2005-01-01,14.949222,7.672155,7.277067,17.512437
2006-01-01,15.227659,8.200528,7.027130,17.639464
2007-01-01,15.679402,8.767223,6.912179,17.973703
2008-01-01,15.592594,8.779705,6.812890,17.803062
2009-01-01,15.207933,8.497145,6.710789,17.377478
2010-01-01,14.020846,7.871747,6.149099,16.277506
2011-01-01,13.015112,7.284612,5.730500,15.576198
2012-01-01,12.027062,6.628001,5.399062,15.128161
2013-01-01,11.905963,6.425593,5.480370,15.388795
2014-01-01,11.695875,6.245418,5.450457,15.173611
2015-01-01,11.596706,6.054896,5.541810,15.134089
2016-01-01,11.791211,6.033672,5.757540,15.192190
2017-01-01,11.778934,5.967165,5.811769,14.961440
2018-01-01,11.632187,5.909252,5.722935,14.747204
2019-01-01,11.625218,5.897618,5.727601,14.713183
2020-01-01,10.449575,5.392932,5.056644,13.873796
2021-01-01,9.828226,5.194954,4.633273,13.475013
2022-01-01,10.652729,5.650792,5.001936,14.350897
2023-01-01,10.851885,5.647691,5.204195,
