observation_date,DRCCLACBS,DRCLACBS,DRALACBN,DRSFRMACBS,DRBLACBS
1985-01-01,,,4.80,,
1986-01-01,,,4.76,,
1987-01-01,,3.31,5.44,,6.53
1988-01-01,,3.27,4.98,,5.43
1989-01-01,,3.53,4.98,,5.20
1990-01-01,,3.76,5.37,,5.56
1991-01-01,5.35,4.15,6.04,3.19,6.24
1992-01-01,5.01,3.77,5.27,2.96,5.32
1993-01-01,4.26,3.27,4.00,2.62,3.77
1994-01-01,3.36,2.77,2.81,2.22,2.40
1995-01-01,3.75,3.09,2.51,2.13,2.09
1996-01-01,4.34,3.54,2.44,2.26,2.02
1997-01-01,4.74,3.74,2.30,2.26,1.78
1998-01-01,4.75,3.75,2.21,2.11,1.80
1999-01-01,4.60,3.62,2.16,1.99,2.01
2000-01-01,4.51,3.55,2.20,2.06,2.30
2001-01-01,4.86,3.67,2.61,2.30,3.08
2002-01-01,4.86,3.51,2.69,2.13,3.84
2003-01-01,4.47,3.28,2.33,1.82,3.33
2004-01-01,4.12,3.08,1.80,1.56,2.18
2005-01-01,3.70,2.81,1.57,1.55,1.51
2006-01-01,4.02,2.90,1.57,1.72,1.27
2007-01-01,4.25,3.13,2.06,2.55,1.22
2008-01-01,5.03,3.76,3.67,4.98,1.88
2009-01-01,6.53,4.70,6.56,9.12,3.90
2010-01-01,4.90,4.15,6.96,10.89,3.46
2011-01-01,3.54,3.23,5.83,10.42,2.01
2012-01-01,2.88,2.80,5.02,10.32,1.34
2013-01-01,2.50,2.45,3.96,9.00,1.01
2014-01-01,2.23,2.22,3.00,7.19,0.80
2015-01-01,2.14,2.00,2.34,5.64,0.87
2016-01-01,2.26,2.07,2.10,4.47,1.57
2017-01-01,2.48,2.22,1.85,3.70,1.34
2018-01-01,2.51,2.29,1.62,3.13,1.03
2019-01-01,2.58,2.34,1.48,2.52,1.11
2020-01-01,2.31,2.06,1.56,2.62,1.24
2021-01-01,1.64,1.57,1.35,2.44,1.09
2022-01-01,1.96,1.86,1.22,1.92,1.06
2023-01-01,2.82,2.43,1.30,1.72,0.99
2024-01-01,,,,,
